Cloverdale;39.5211;-86.7995;;Cloverdale39.5211-86.7995
Brazil;39.5226;-87.124;;Brazil39.5226-87.124
Knightsville;39.5253;-87.0891;;Knightsville39.5253-87.0891
Ashmore;39.5306;-88.0201;;Ashmore39.5306-88.0201
Harmony;39.5337;-87.073;;Harmony39.5337-87.073
Bethany;39.5337;-86.3778;;Bethany39.5337-86.3778
Shelbyville;39.535;-85.7792;;Shelbyville39.535-85.7792
North Terre Haute;39.537;-87.3653;;North Terre Haute39.537-87.3653
Bargersville;39.5412;-86.2004;;Bargersville39.5412-86.2004
Brooklyn;39.5436;-86.3674;;Brooklyn39.5436-86.3674
